sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.32,0.68,0.07157894736842105,0.88,0.4,1.0,0.93,0.89,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.84,0.4,1.0,0.93,0.89,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.88,0.4,1.0,0.93,0.89,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.84,0.4,1.0,0.93,0.89,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.88,0.4,1.0,0.93,0.89,No counterfactual,6,57
0.0,0.92,0.0968421052631579,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.0,1.0,0.10526315789473684,0.8,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.04,0.92,0.0968421052631579,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.04,0.96,0.10105263157894735,0.8,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.08,0.92,0.0968421052631579,0.8,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.08,0.92,0.0968421052631579,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.8,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.8,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.2,0.8,0.08421052631578947,0.8,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.2,0.8,0.08421052631578947,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.24,0.76,0.08,0.8,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.24,0.76,0.08,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.44,0.56,0.05894736842105264,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.48,0.52,0.05473684210526316,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.48,0.52,0.05473684210526316,0.88,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.88,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.56,0.44,0.046315789473684206,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.56,0.44,0.046315789473684206,0.88,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.6,0.4,0.042105263157894736,0.84,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.6,0.4,0.042105263157894736,0.88,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.64,0.36,0.03789473684210526,0.88,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.68,0.32,0.03368421052631579,0.88,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.72,0.28,0.02947368421052632,0.88,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.76,0.24,0.025263157894736838,0.88,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.8,0.2,0.021052631578947368,0.88,0.81,1.0,0.48,0.88,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.8,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.84,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.8,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.84,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.8,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.84,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.8,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.84,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.44,0.56,0.05894736842105264,0.84,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.48,0.52,0.05473684210526316,0.84,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.84,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.56,0.44,0.046315789473684206,0.84,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.6,0.4,0.042105263157894736,0.84,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.64,0.36,0.03789473684210526,0.84,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.68,0.32,0.03368421052631579,0.84,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.72,0.28,0.02947368421052632,0.84,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.76,0.24,0.025263157894736838,0.84,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.8,0.2,0.021052631578947368,0.84,1.0,0.72,0.67,0.86,No counterfactual,6,57
0.0,1.0,0.10526315789473684,0.8,0.43,1.0,0.35,0.88,No counterfactual,6,57
0.04,0.96,0.10105263157894735,0.8,0.43,1.0,0.35,0.88,No counterfactual,6,57
0.08,0.92,0.0968421052631579,0.8,0.43,1.0,0.35,0.88,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.8,0.43,1.0,0.35,0.88,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.8,0.43,1.0,0.35,0.88,No counterfactual,6,57
0.2,0.8,0.08421052631578947,0.8,0.43,1.0,0.35,0.88,No counterfactual,6,57
0.24,0.76,0.08,0.8,0.43,1.0,0.35,0.88,No counterfactual,6,57
0.24,0.76,0.08,0.84,0.43,1.0,0.35,0.88,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.84,0.43,1.0,0.35,0.88,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.84,0.43,1.0,0.35,0.88,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.84,0.43,1.0,0.35,0.88,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.84,0.43,1.0,0.35,0.88,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.84,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.84,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.84,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.84,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.44,0.56,0.05894736842105264,0.84,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.44,0.56,0.05894736842105264,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.48,0.52,0.05473684210526316,0.84,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.48,0.52,0.05473684210526316,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.84,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.56,0.44,0.046315789473684206,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.6,0.4,0.042105263157894736,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.64,0.36,0.03789473684210526,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.68,0.32,0.03368421052631579,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.72,0.28,0.02947368421052632,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.76,0.24,0.025263157894736838,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.8,0.2,0.021052631578947368,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.84,0.16,0.016842105263157894,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.88,0.12,0.012631578947368419,0.88,1.0,0.74,0.6,0.89,No counterfactual,6,57
0.08,0.92,0.0968421052631579,0.8,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.8,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.84,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.84,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.2,0.8,0.08421052631578947,0.84,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.24,0.76,0.08,0.84,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.84,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.84,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.84,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.84,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.44,0.56,0.05894736842105264,0.84,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.48,0.52,0.05473684210526316,0.84,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.84,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.88,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.56,0.44,0.046315789473684206,0.88,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.6,0.4,0.042105263157894736,0.88,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.64,0.36,0.03789473684210526,0.88,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.68,0.32,0.03368421052631579,0.88,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.72,0.28,0.02947368421052632,0.88,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.76,0.24,0.025263157894736838,0.88,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.8,0.2,0.021052631578947368,0.88,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.84,0.16,0.016842105263157894,0.88,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.88,0.12,0.012631578947368419,0.88,1.0,0.94,0.4,0.89,No counterfactual,6,57
0.0,1.0,0.10526315789473684,0.8,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.0,1.0,0.10526315789473684,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.0,1.0,0.10526315789473684,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.04,0.96,0.10105263157894735,0.8,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.04,0.96,0.10105263157894735,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.04,0.96,0.10105263157894735,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.08,0.92,0.0968421052631579,0.8,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.08,0.92,0.0968421052631579,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.08,0.92,0.0968421052631579,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.8,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.8,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.2,0.8,0.08421052631578947,0.8,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.2,0.8,0.08421052631578947,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.2,0.8,0.08421052631578947,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.24,0.76,0.08,0.8,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.24,0.76,0.08,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.24,0.76,0.08,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.44,0.56,0.05894736842105264,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.44,0.56,0.05894736842105264,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.48,0.52,0.05473684210526316,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.48,0.52,0.05473684210526316,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.56,0.44,0.046315789473684206,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.56,0.44,0.046315789473684206,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.6,0.4,0.042105263157894736,0.84,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.6,0.4,0.042105263157894736,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.64,0.36,0.03789473684210526,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.68,0.32,0.03368421052631579,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.72,0.28,0.02947368421052632,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.76,0.24,0.025263157894736838,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.8,0.2,0.021052631578947368,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.84,0.16,0.016842105263157894,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.88,0.12,0.012631578947368419,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.92,0.08,0.008421052631578947,0.88,0.93,1.0,0.94,0.88,No counterfactual,6,57
0.0,1.0,0.10526315789473684,0.8,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.0,1.0,0.10526315789473684,0.84,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.04,0.96,0.10105263157894735,0.8,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.04,0.96,0.10105263157894735,0.84,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.08,0.92,0.0968421052631579,0.84,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.84,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.84,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.2,0.8,0.08421052631578947,0.84,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.24,0.76,0.08,0.84,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.84,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.88,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.84,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.88,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.84,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.88,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.84,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.88,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.44,0.56,0.05894736842105264,0.88,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.48,0.52,0.05473684210526316,0.88,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.88,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.56,0.44,0.046315789473684206,0.88,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.6,0.4,0.042105263157894736,0.88,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.64,0.36,0.03789473684210526,0.88,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.68,0.32,0.03368421052631579,0.88,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.72,0.28,0.02947368421052632,0.88,0.72,1.0,0.5700000000000001,0.9,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.84,1.0,0.7000000000000001,0.6900000000000001,0.91,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.88,1.0,0.7000000000000001,0.6900000000000001,0.91,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.88,1.0,0.7000000000000001,0.6900000000000001,0.91,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.88,1.0,0.7000000000000001,0.6900000000000001,0.91,No counterfactual,6,57
0.44,0.56,0.05894736842105264,0.88,1.0,0.7000000000000001,0.6900000000000001,0.91,No counterfactual,6,57
0.48,0.52,0.05473684210526316,0.88,1.0,0.7000000000000001,0.6900000000000001,0.91,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.88,1.0,0.7000000000000001,0.6900000000000001,0.91,No counterfactual,6,57
0.56,0.44,0.046315789473684206,0.88,1.0,0.7000000000000001,0.6900000000000001,0.91,No counterfactual,6,57
0.6,0.4,0.042105263157894736,0.88,1.0,0.7000000000000001,0.6900000000000001,0.91,No counterfactual,6,57
0.64,0.36,0.03789473684210526,0.88,1.0,0.7000000000000001,0.6900000000000001,0.91,No counterfactual,6,57
0.68,0.32,0.03368421052631579,0.88,1.0,0.7000000000000001,0.6900000000000001,0.91,No counterfactual,6,57
0.0,1.0,0.10526315789473684,0.76,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.0,1.0,0.10526315789473684,0.8,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.0,1.0,0.10526315789473684,0.84,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.04,0.96,0.10105263157894735,0.76,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.04,0.96,0.10105263157894735,0.8,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.04,0.96,0.10105263157894735,0.84,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.08,0.92,0.0968421052631579,0.8,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.08,0.92,0.0968421052631579,0.84,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.8,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.84,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.8,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.84,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.2,0.8,0.08421052631578947,0.8,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.2,0.8,0.08421052631578947,0.84,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.24,0.76,0.08,0.8,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.24,0.76,0.08,0.84,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.8,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.84,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.8,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.84,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.8,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.84,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.8,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.84,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.44,0.56,0.05894736842105264,0.84,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.48,0.52,0.05473684210526316,0.84,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.84,0.55,1.0,0.85,0.86,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.84,1.0,0.68,0.33,0.9,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.84,1.0,0.68,0.33,0.9,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.84,1.0,0.68,0.33,0.9,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.88,1.0,0.68,0.33,0.9,No counterfactual,6,57
0.56,0.44,0.046315789473684206,0.88,1.0,0.68,0.33,0.9,No counterfactual,6,57
0.6,0.4,0.042105263157894736,0.88,1.0,0.68,0.33,0.9,No counterfactual,6,57
0.64,0.36,0.03789473684210526,0.88,1.0,0.68,0.33,0.9,No counterfactual,6,57
0.68,0.32,0.03368421052631579,0.88,1.0,0.68,0.33,0.9,No counterfactual,6,57
0.72,0.28,0.02947368421052632,0.88,1.0,0.68,0.33,0.9,No counterfactual,6,57
0.76,0.24,0.025263157894736838,0.88,1.0,0.68,0.33,0.9,No counterfactual,6,57
0.8,0.2,0.021052631578947368,0.88,1.0,0.68,0.33,0.9,No counterfactual,6,57
0.0,0.88,0.09263157894736841,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.0,1.0,0.10526315789473684,0.8,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.0,1.0,0.10526315789473684,0.84,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.04,0.88,0.09263157894736841,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.04,0.96,0.10105263157894735,0.8,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.04,0.96,0.10105263157894735,0.84,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.08,0.88,0.09263157894736841,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.08,0.92,0.0968421052631579,0.8,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.08,0.92,0.0968421052631579,0.84,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.8,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.84,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.84,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.2,0.8,0.08421052631578947,0.84,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.2,0.8,0.08421052631578947,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.24,0.76,0.08,0.84,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.24,0.76,0.08,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.84,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.28,0.72,0.07578947368421052,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.84,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.32,0.68,0.07157894736842105,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.84,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.36,0.64,0.06736842105263158,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.84,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.4,0.6,0.0631578947368421,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.44,0.56,0.05894736842105264,0.84,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.44,0.56,0.05894736842105264,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.48,0.52,0.05473684210526316,0.84,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.48,0.52,0.05473684210526316,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.84,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.52,0.48,0.050526315789473676,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.56,0.44,0.046315789473684206,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.6,0.4,0.042105263157894736,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.64,0.36,0.03789473684210526,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.68,0.32,0.03368421052631579,0.88,0.7000000000000001,1.0,0.76,0.89,No counterfactual,6,57
0.0,1.0,0.10526315789473684,0.8,0.87,1.0,0.79,0.88,No counterfactual,6,57
0.0,1.0,0.10526315789473684,0.84,0.87,1.0,0.79,0.88,No counterfactual,6,57
0.04,0.96,0.10105263157894735,0.8,0.87,1.0,0.79,0.88,No counterfactual,6,57
0.04,0.96,0.10105263157894735,0.84,0.87,1.0,0.79,0.88,No counterfactual,6,57
0.08,0.92,0.0968421052631579,0.8,0.87,1.0,0.79,0.88,No counterfactual,6,57
0.08,0.92,0.0968421052631579,0.84,0.87,1.0,0.79,0.88,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.8,0.87,1.0,0.79,0.88,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.84,0.87,1.0,0.79,0.88,No counterfactual,6,57
0.12,0.88,0.09263157894736841,0.88,0.87,1.0,0.79,0.88,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.8,0.87,1.0,0.79,0.88,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.84,0.87,1.0,0.79,0.88,No counterfactual,6,57
0.16,0.84,0.08842105263157894,0.88,0.87,1.0,0.79,0.88,No counterfactual,6,57
0.2,0.8,0.08421052631578947,0.8,0.87,1.0,0.79,0.88,No counterfactual,6,57
