sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.2,0.8,0.06315789473684211,0.8,0.44,1.0,0.59,0.8200000000000001,No counterfactual,3,38
0.24,0.76,0.06,0.76,0.44,1.0,0.59,0.8200000000000001,No counterfactual,3,38
0.24,0.76,0.06,0.8,0.44,1.0,0.59,0.8200000000000001,No counterfactual,3,38
0.28,0.72,0.05684210526315789,0.8,0.44,1.0,0.59,0.8200000000000001,No counterfactual,3,38
0.32,0.68,0.05368421052631579,0.8,0.44,1.0,0.59,0.8200000000000001,No counterfactual,3,38
0.36,0.64,0.05052631578947368,0.8,0.44,1.0,0.59,0.8200000000000001,No counterfactual,3,38
0.4,0.6,0.047368421052631574,0.8,0.44,1.0,0.59,0.8200000000000001,No counterfactual,3,38
0.44,0.56,0.04421052631578948,0.8,0.44,1.0,0.59,0.8200000000000001,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.8,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.8,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.8,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.8,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.8,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.8,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.24,0.76,0.06,0.8,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.24,0.76,0.06,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.28,0.72,0.05684210526315789,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.32,0.68,0.05368421052631579,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.36,0.64,0.05052631578947368,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.4,0.6,0.047368421052631574,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.44,0.56,0.04421052631578948,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.48,0.52,0.04105263157894737,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.52,0.48,0.03789473684210526,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.56,0.44,0.034736842105263156,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.6,0.4,0.031578947368421054,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.64,0.36,0.028421052631578944,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.68,0.32,0.02526315789473684,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.72,0.28,0.02210526315789474,0.84,0.74,1.0,0.59,0.86,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.8,0.15,1.0,0.65,0.85,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.84,0.15,1.0,0.65,0.85,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.8,0.15,1.0,0.65,0.85,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.84,0.15,1.0,0.65,0.85,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.8,0.15,1.0,0.65,0.85,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.84,0.15,1.0,0.65,0.85,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.8,0.15,1.0,0.65,0.85,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.84,0.15,1.0,0.65,0.85,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.8,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.8,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.8,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.8,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.8,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.8,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.24,0.76,0.06,0.8,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.28,0.72,0.05684210526315789,0.8,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.32,0.68,0.05368421052631579,0.8,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.36,0.64,0.05052631578947368,0.8,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.52,0.48,0.03789473684210526,0.84,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.56,0.44,0.034736842105263156,0.84,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.6,0.4,0.031578947368421054,0.84,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.64,0.36,0.028421052631578944,0.84,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.68,0.32,0.02526315789473684,0.84,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.72,0.28,0.02210526315789474,0.84,0.75,1.0,0.2,0.85,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.8,0.11,1.0,0.95,0.86,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.84,0.11,1.0,0.95,0.86,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.8,0.11,1.0,0.95,0.86,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.84,0.11,1.0,0.95,0.86,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.8,0.11,1.0,0.95,0.86,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.84,0.11,1.0,0.95,0.86,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.72,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.76,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.72,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.76,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.72,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.76,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.76,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.76,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.76,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.24,0.76,0.06,0.76,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.28,0.72,0.05684210526315789,0.76,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.32,0.68,0.05368421052631579,0.76,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.36,0.64,0.05052631578947368,0.76,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.4,0.6,0.047368421052631574,0.76,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.44,0.56,0.04421052631578948,0.76,0.46,1.0,0.45,0.79,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.72,0.15,1.0,0.52,0.79,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.76,0.15,1.0,0.52,0.79,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.72,0.15,1.0,0.52,0.79,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.76,0.15,1.0,0.52,0.79,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.72,0.15,1.0,0.52,0.79,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.76,0.15,1.0,0.52,0.79,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.76,0.15,1.0,0.52,0.79,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.8,0.08,1.0,0.2,0.85,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.8,0.08,1.0,0.2,0.85,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.8,0.08,1.0,0.2,0.85,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.72,0.01,1.0,0.4,0.79,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.76,0.01,1.0,0.4,0.79,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.76,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.76,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.76,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.24,0.76,0.06,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.28,0.72,0.05684210526315789,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.32,0.68,0.05368421052631579,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.36,0.64,0.05052631578947368,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.4,0.6,0.047368421052631574,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.44,0.56,0.04421052631578948,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.48,0.52,0.04105263157894737,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.52,0.48,0.03789473684210526,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.56,0.44,0.034736842105263156,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.6,0.4,0.031578947368421054,0.8,0.96,1.0,0.78,0.8300000000000001,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.76,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.76,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.76,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.76,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.76,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.76,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.24,0.76,0.06,0.76,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.24,0.76,0.06,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.28,0.72,0.05684210526315789,0.76,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.28,0.72,0.05684210526315789,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.32,0.68,0.05368421052631579,0.76,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.32,0.68,0.05368421052631579,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.36,0.64,0.05052631578947368,0.76,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.36,0.64,0.05052631578947368,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.4,0.6,0.047368421052631574,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.44,0.56,0.04421052631578948,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.48,0.52,0.04105263157894737,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.52,0.48,0.03789473684210526,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.56,0.44,0.034736842105263156,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.6,0.4,0.031578947368421054,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.64,0.36,0.028421052631578944,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.68,0.32,0.02526315789473684,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.72,0.28,0.02210526315789474,0.8,0.75,1.0,0.72,0.81,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.72,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.72,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.72,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.24,0.76,0.06,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.28,0.72,0.05684210526315789,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.32,0.68,0.05368421052631579,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.36,0.64,0.05052631578947368,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.4,0.6,0.047368421052631574,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.44,0.56,0.04421052631578948,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.48,0.52,0.04105263157894737,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.52,0.48,0.03789473684210526,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.56,0.44,0.034736842105263156,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.6,0.4,0.031578947368421054,0.76,1.0,1.0,0.52,0.79,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.8,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.8,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.8,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.8,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.8,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.8,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.24,0.76,0.06,0.8,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.24,0.76,0.06,0.84,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.28,0.72,0.05684210526315789,0.84,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.32,0.68,0.05368421052631579,0.84,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.36,0.64,0.05052631578947368,0.84,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.4,0.6,0.047368421052631574,0.84,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.44,0.56,0.04421052631578948,0.84,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.48,0.52,0.04105263157894737,0.84,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.52,0.48,0.03789473684210526,0.84,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.56,0.44,0.034736842105263156,0.84,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.6,0.4,0.031578947368421054,0.84,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.64,0.36,0.028421052631578944,0.84,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.68,0.32,0.02526315789473684,0.84,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.72,0.28,0.02210526315789474,0.84,0.91,1.0,0.3,0.86,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.8,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.8,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.8,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.8,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.8,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.8,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.24,0.76,0.06,0.8,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.24,0.76,0.06,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.28,0.72,0.05684210526315789,0.8,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.28,0.72,0.05684210526315789,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.32,0.68,0.05368421052631579,0.8,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.32,0.68,0.05368421052631579,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.36,0.64,0.05052631578947368,0.8,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.36,0.64,0.05052631578947368,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.4,0.6,0.047368421052631574,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.44,0.56,0.04421052631578948,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.48,0.52,0.04105263157894737,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.52,0.48,0.03789473684210526,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.56,0.44,0.034736842105263156,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.6,0.4,0.031578947368421054,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.64,0.36,0.028421052631578944,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.68,0.32,0.02526315789473684,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.72,0.28,0.02210526315789474,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.76,0.24,0.01894736842105263,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.8,0.2,0.015789473684210527,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.84,0.16,0.01263157894736842,0.84,0.93,1.0,0.9,0.85,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.72,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.72,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.72,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.24,0.76,0.06,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.28,0.72,0.05684210526315789,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.32,0.68,0.05368421052631579,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.36,0.64,0.05052631578947368,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.4,0.6,0.047368421052631574,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.44,0.56,0.04421052631578948,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.48,0.52,0.04105263157894737,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.52,0.48,0.03789473684210526,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.56,0.44,0.034736842105263156,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.6,0.4,0.031578947368421054,0.76,0.78,1.0,0.85,0.79,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.76,0.08,1.0,0.41,0.8300000000000001,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.8,0.08,1.0,0.41,0.8300000000000001,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.76,0.08,1.0,0.41,0.8300000000000001,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.8,0.08,1.0,0.41,0.8300000000000001,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.76,0.08,1.0,0.41,0.8300000000000001,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.8,0.08,1.0,0.41,0.8300000000000001,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.8,0.09,1.0,0.72,0.86,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.84,0.09,1.0,0.72,0.86,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.8,0.09,1.0,0.72,0.86,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.84,0.09,1.0,0.72,0.86,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.8,0.09,1.0,0.72,0.86,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.84,0.09,1.0,0.72,0.86,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.8,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.8,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.8,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.8,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.8,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.8,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.24,0.76,0.06,0.8,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.24,0.76,0.06,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.28,0.72,0.05684210526315789,0.8,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.28,0.72,0.05684210526315789,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.32,0.68,0.05368421052631579,0.8,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.32,0.68,0.05368421052631579,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.36,0.64,0.05052631578947368,0.8,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.36,0.64,0.05052631578947368,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.4,0.6,0.047368421052631574,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.44,0.56,0.04421052631578948,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.48,0.52,0.04105263157894737,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.52,0.48,0.03789473684210526,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.56,0.44,0.034736842105263156,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.6,0.4,0.031578947368421054,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.64,0.36,0.028421052631578944,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.68,0.32,0.02526315789473684,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.72,0.28,0.02210526315789474,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.76,0.24,0.01894736842105263,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.8,0.2,0.015789473684210527,0.84,0.81,1.0,0.36,0.85,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.8,0.58,1.0,0.19,0.86,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.8,0.58,1.0,0.19,0.86,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.8,0.58,1.0,0.19,0.86,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.8,0.58,1.0,0.19,0.86,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.8,0.58,1.0,0.19,0.86,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.8,0.58,1.0,0.19,0.86,No counterfactual,3,38
0.24,0.76,0.06,0.8,0.58,1.0,0.19,0.86,No counterfactual,3,38
0.44,0.56,0.04421052631578948,0.84,0.58,1.0,0.19,0.86,No counterfactual,3,38
0.48,0.52,0.04105263157894737,0.84,0.58,1.0,0.19,0.86,No counterfactual,3,38
0.52,0.48,0.03789473684210526,0.84,0.58,1.0,0.19,0.86,No counterfactual,3,38
0.56,0.44,0.034736842105263156,0.84,0.58,1.0,0.19,0.86,No counterfactual,3,38
0.0,1.0,0.07894736842105263,0.76,0.87,1.0,0.34,0.81,No counterfactual,3,38
0.04,0.96,0.07578947368421052,0.76,0.87,1.0,0.34,0.81,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.76,0.87,1.0,0.34,0.81,No counterfactual,3,38
0.08,0.92,0.07263157894736842,0.8,0.87,1.0,0.34,0.81,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.76,0.87,1.0,0.34,0.81,No counterfactual,3,38
0.12,0.88,0.06947368421052631,0.8,0.87,1.0,0.34,0.81,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.76,0.87,1.0,0.34,0.81,No counterfactual,3,38
0.16,0.84,0.0663157894736842,0.8,0.87,1.0,0.34,0.81,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.76,0.87,1.0,0.34,0.81,No counterfactual,3,38
0.2,0.8,0.06315789473684211,0.8,0.87,1.0,0.34,0.81,No counterfactual,3,38
0.24,0.76,0.06,0.76,0.87,1.0,0.34,0.81,No counterfactual,3,38
